date,store_id,dept_id,sales,prediction
2014-09-30,CA_1,FOODS_2,0.5998830720736879,
2014-10-01,CA_1,FOODS_2,0.7007037171450193,
2014-10-02,CA_1,FOODS_2,0.6560982020128319,
2014-10-03,CA_1,FOODS_2,0.7226339225338123,
2014-10-04,CA_1,FOODS_2,0.888179493918325,
2014-10-05,CA_1,FOODS_2,0.8830933585756899,
2014-10-06,CA_1,FOODS_2,0.761927838420529,
2014-10-07,CA_1,FOODS_2,0.7363965022766424,
2014-10-08,CA_1,FOODS_2,0.7067177823367587,
2014-10-09,CA_1,FOODS_2,0.69810054562339,
2014-10-10,CA_1,FOODS_2,0.7201593034059569,
2014-10-11,CA_1,FOODS_2,0.8356905714924255,
2014-10-12,CA_1,FOODS_2,0.885361220031512,
2014-10-13,CA_1,FOODS_2,0.7024305364455253,
2014-10-14,CA_1,FOODS_2,0.6148972160331346,
2014-10-15,CA_1,FOODS_2,0.617000341120899,
2014-10-16,CA_1,FOODS_2,0.608526033577194,
2014-10-17,CA_1,FOODS_2,0.6839471307515121,
2014-10-18,CA_1,FOODS_2,0.8034571156484139,
2014-10-19,CA_1,FOODS_2,0.8981764834976765,
2014-10-20,CA_1,FOODS_2,0.7101173651118162,
2014-10-21,CA_1,FOODS_2,0.5365584425715301,
2014-10-22,CA_1,FOODS_2,0.6074550232146685,
2014-10-23,CA_1,FOODS_2,0.5514499979728752,
2014-10-24,CA_1,FOODS_2,0.6454222693490919,
2014-10-25,CA_1,FOODS_2,0.8864907251724818,
2014-10-26,CA_1,FOODS_2,0.8169038393756602,
2014-10-27,CA_1,FOODS_2,0.7528164311882715,
2014-10-28,CA_1,FOODS_2,0.5843312243675307,
2014-10-29,CA_1,FOODS_2,0.5403294747908738,
2014-10-30,CA_1,FOODS_2,0.6637009253896482,
2014-10-31,CA_1,FOODS_2,0.5965970956264602,
2014-11-01,CA_1,FOODS_2,0.9523080096621253,
2014-11-02,CA_1,FOODS_2,1.000867721531227,
2014-11-03,CA_1,FOODS_2,0.8686444383948257,
2014-11-04,CA_1,FOODS_2,0.8603380065709937,
2014-11-05,CA_1,FOODS_2,0.7101173651118162,
2014-11-06,CA_1,FOODS_2,0.7403626894942439,
2014-11-07,CA_1,FOODS_2,0.7466341989375788,
2014-11-08,CA_1,FOODS_2,0.9169800473203822,
2014-11-09,CA_1,FOODS_2,0.9459607035775686,
2014-11-10,CA_1,FOODS_2,0.8639173769578605,
2014-11-11,CA_1,FOODS_2,0.7824726241662862,
2014-11-12,CA_1,FOODS_2,0.6589648426644349,
2014-11-13,CA_1,FOODS_2,0.7015679850559274,
2014-11-14,CA_1,FOODS_2,0.6954816764901974,
2014-11-15,CA_1,FOODS_2,0.8188854145940099,
2014-11-16,CA_1,FOODS_2,0.9106244048892013,
2014-11-17,CA_1,FOODS_2,0.7937903846908186,
2014-11-18,CA_1,FOODS_2,0.6730209071288962,
2014-11-19,CA_1,FOODS_2,0.6483600109809317,
2014-11-20,CA_1,FOODS_2,0.6148972160331346,
2014-11-21,CA_1,FOODS_2,0.7041505168397991,
2014-11-22,CA_1,FOODS_2,0.8948696567452525,
2014-11-23,CA_1,FOODS_2,0.8615344108590378,
2014-11-24,CA_1,FOODS_2,0.8055008581584001,
2014-11-25,CA_1,FOODS_2,0.6919651027673603,
2014-11-26,CA_1,FOODS_2,0.7058637122839193,
2014-11-27,CA_1,FOODS_2,0.22788670461367355,
2014-11-28,CA_1,FOODS_2,0.46982201597816303,
2014-11-29,CA_1,FOODS_2,0.6454222693490919,
2014-11-30,CA_1,FOODS_2,0.7474118078864233,
2014-12-01,CA_1,FOODS_2,0.814913181275074,
2014-12-02,CA_1,FOODS_2,0.6893088591236203,
2014-12-03,CA_1,FOODS_2,0.7109631189952756,
2014-12-04,CA_1,FOODS_2,0.8041394323353505,
2014-12-05,CA_1,FOODS_2,0.7371926427047373,
2014-12-06,CA_1,FOODS_2,0.9222062774390164,
2014-12-07,CA_1,FOODS_2,0.9370161074648142,
2014-12-08,CA_1,FOODS_2,0.808885867359812,
2014-12-09,CA_1,FOODS_2,0.7831886910752576,
2014-12-10,CA_1,FOODS_2,0.8162412999917831,
2014-12-11,CA_1,FOODS_2,0.5185139398778874,
2014-12-12,CA_1,FOODS_2,0.693726948923647,
2014-12-13,CA_1,FOODS_2,0.785329835010767,
2014-12-14,CA_1,FOODS_2,0.8615344108590378,
2014-12-15,CA_1,FOODS_2,0.7151673578484579,
2014-12-16,CA_1,FOODS_2,0.7134905430939424,
2014-12-17,CA_1,FOODS_2,0.6374897295125107,
2014-12-18,CA_1,FOODS_2,0.6324572921847242,
2014-12-19,CA_1,FOODS_2,0.6253124509616739,
2014-12-20,CA_1,FOODS_2,0.7937903846908186,
2014-12-21,CA_1,FOODS_2,0.808885867359812,
2014-12-22,CA_1,FOODS_2,0.705007959333336,
2014-12-23,CA_1,FOODS_2,0.6560982020128319,
2014-12-24,CA_1,FOODS_2,0.5185139398778874,
2014-12-25,CA_1,FOODS_2,0.0,
2014-12-26,CA_1,FOODS_2,0.5943925503754267,
2014-12-27,CA_1,FOODS_2,0.705007959333336,
2014-12-28,CA_1,FOODS_2,0.7307822756663892,
2014-12-29,CA_1,FOODS_2,0.7151673578484579,
2014-12-30,CA_1,FOODS_2,0.6637009253896482,
2014-12-31,CA_1,FOODS_2,0.7168377232995244,
2015-01-01,CA_1,FOODS_2,0.6384892569546373,
2015-01-02,CA_1,FOODS_2,0.8234742291703011,
2015-01-03,CA_1,FOODS_2,0.8887409606828927,
2015-01-04,CA_1,FOODS_2,0.8750612633917001,
2015-01-05,CA_1,FOODS_2,0.7558748556724915,
2015-01-06,CA_1,FOODS_2,0.7067177823367587,
2015-01-07,CA_1,FOODS_2,0.6919651027673603,
2015-01-08,CA_1,FOODS_2,0.6354837468149122,
2015-01-09,CA_1,FOODS_2,0.6901960800285137,
2015-01-10,CA_1,FOODS_2,0.8524799936368563,
2015-01-11,CA_1,FOODS_2,0.8744818176994664,
2015-01-12,CA_1,FOODS_2,0.725094521081469,
2015-01-13,CA_1,FOODS_2,0.6222140229662954,
2015-01-14,CA_1,FOODS_2,0.5705429398818975,
2015-01-15,CA_1,FOODS_2,0.615950051656401,
